popular,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,unix_timestamp
1,0,0.561,0.666,8.0,-4.243,1,0.02151055210108149,0.07475966199577988,0.0,0.0712264027948513,0.675,5.081522370443905,12.298505963861261,1576368000.0
1,3,0.6,0.76,6.0,-6.34913587994543,0,0.0282445078767588,0.10205916305425793,0.0,0.08977013828660439,0.52,5.0689042022202315,12.300838470329301,1589932800.0
0,6,0.532,0.629,10.0,-7.955,0,0.055915049700353846,0.12934020105166993,0.0,0.1269714815138587,0.545,4.5541926312232235,12.148941290147672,1302825600.0
1,3,0.57,0.94,1.0,-6.34913587994543,1,0.03778265646515051,0.0767380119945665,0.0,0.11744208743991762,0.84,5.117993812416755,12.300838470329301,1681257600.0
0,1,0.804,0.846,6.0,-7.994,1,0.030215893266607154,0.06962100147368802,0.0002610674989443784,0.04545648296441149,0.887,4.828337737014306,12.757621698959063,1539561600.0
1,6,0.894,0.721,4.0,-5.829,0,0.05232085269111997,0.09640168428331106,0.0,0.08073065120348183,0.392,4.6910083750618226,12.724086372868134,1479168000.0
0,5,0.559,0.716,11.0,-3.964,0,0.05635018812563391,0.19448174545375488,0.0,0.10184039908559162,0.504,5.179635176773719,12.525355124051783,1373846400.0
1,5,0.794,0.757,6.0,-6.644,0,0.042635555371843374,0.02413338552206771,0.00014093748080521145,0.0453496231985519,0.615,4.69125613490122,12.137156556809636,1576368000.0
0,5,0.715,0.478,9.0,-9.798,1,0.023556040038200034,0.16245878500581112,8.672258601568756e-06,0.08719931930409944,0.41,4.956516960408652,12.117186785521733,1576368000.0
1,0,0.654,0.63,10.0,-4.644,1,0.01849999716028041,0.0956170703981989,0.0,0.06699955568388996,0.43,4.510760600526913,12.029896168995933,1571097600.0
1,6,0.899,0.624,6.0,-6.729,0,0.02930239693491252,0.16245878500581112,0.0002132520498293951,0.05803984873333322,0.751,4.890724997423698,11.961028517762626,1571097600.0
0,4,0.594,0.709,6.0,-9.541,0,0.02383847197676374,0.0279905108723715,0.00026011871923449373,0.051308725830577315,0.587,4.5108704954674606,12.389618452623822,1484438400.0
0,2,0.608,0.494,4.0,-4.113,0,0.05244718408526664,0.009800792315747292,0.00023136427905569204,0.059152644651466094,0.262,5.198800852510792,12.179050822433867,1523750400.0
1,6,0.825,0.761,8.0,-5.389,1,0.040068441724471805,0.010628927569390784,0.0002435695708474488,0.11341762070502744,0.161,5.017081141579645,12.003785088095341,1489536000.0
0,1,0.666,0.869,7.0,-3.972,1,0.023269733087563988,0.006468386982202906,0.0,0.05145409018144305,0.633,4.7793839633878825,12.29451840996076,1497484800.0
1,5,0.871,0.493,9.0,-6.775,1,0.05506612029659044,0.009985314579564376,0.0,0.0594063551898741,0.157,4.543464980551412,12.097311911230863,1557878400.0
0,6,0.687,0.828,6.0,-7.911,0,0.05762504052567719,0.17440960056350188,0.0,0.11412559731952975,0.0999,5.080994343048758,12.616770704503358,1579046400.0
0,4,0.722,0.635,1.0,-6.211,1,0.02603948137106839,0.0446751246330203,0.0001527943455680746,0.06397987990940826,0.364,4.682251590250658,12.222462593509775,1502755200.0
0,5,0.479,0.796,0.0,-4.652,1,0.04946072248770419,0.007554890032275448,0.0,0.1132980722457423,0.51,4.890334090514703,12.346825401235476,1389744000.0
0,2,0.729,0.816,7.0,-4.551,1,0.043343821214793195,0.02814840933043751,0.00017101252567107658,0.09815314751631592,0.288,4.615635235835856,12.229442432352695,1534291200.0
0,6,0.835,0.929,7.0,-3.595,1,0.032574903892149225,0.1805652905821588,1.2737595983040308e-06,0.11847163510218445,0.96,4.787883332767345,12.775508628553029,1536969600.0
0,1,0.789,0.909,5.0,-6.487,1,0.04723533836804525,0.007705290743906195,0.00026066712358523386,0.05335909660262058,0.427,4.860021684786577,12.845589592660081,1229299200.0
1,6,0.645,0.675,1.0,-5.282,0,0.04946072248770419,0.009985314579564376,0.0,0.1051930771118018,0.171,4.801328899570068,12.250668310789997,1563148800.0
